address,area,desc,floor,name,price,room,toward,unit,year
荣域花园湖东-星湖街833号(独墅湖隧道星湖街出口向北20,143㎡,",满二,优质教育,",中层（共8层）,"荣域花园洋房精装大四房,房东换房急售,满两年,送个车位",698万,4室2厅,东向,48811元/㎡,2009年建
天辰花园吴门桥街道-吴中西路666号,145.3㎡,",满五,,距2号线友联站约290米,",高层（共17层）,新上天辰花园大3房 南北通透 家具家电都留 有汽车位 急售,557万,3室2厅,南北向,38334元/㎡,2006年建
"景瑞御江山住宅越溪-经济开发区龙翔路东侧,文溪路北侧(越溪中学附",89㎡,",满二,优质教育,交通便利,繁华商圈,",低层（共27层）,御江山精装小三房 配置齐全 诚心出售 随时看房,180万,3室2厅,南北向,20225元/㎡,2015年建
永新·太湖苏里科技城-镇湖刺绣艺术馆西(生态城管委会对面),325.8㎡,",满二,",科技城镇湖 苏里人家现房别墅 联排 带花园 带车位 有轨电车,480万,南向,14733元/㎡
湖畔天城湖东-湖东钟园路669号,121.08㎡,",满二,优质教育,随时看房,,距1号线南施街约894米,",低层（共25层）,通透 采光 三房两卫 出售,445万,3室2厅,南向,36753元/㎡,2009年建
群星苑娄葑-独墅湖大道与通园路交汇处(娄葑镇政府附近),227㎡,",满五,随时看房,带车位,",高层（共18层）,群星苑四区 毛坯 业主急售 随时看 可塑性高 位置好 单价低,400万,5室2厅,东向,17621元/㎡,2010年建
东港二村东环-东环路(东环路与现代大道交叉口),54.13㎡,",满五,优质教育,随时看房,,距1号线东环路站约588米,",高层（共6层）,东港二村 3室2厅 南 北,170万,3室2厅,南北向,31406元/㎡,1999年建
养蚕里一村吴门桥街道-竹辉路40号,81㎡,",满五,优质教育,随时看房,,距4号线南门站约710米,",中层（共4层）,"新养蚕里新村,二楼精装修,业主急售换新房,振华未占用,有独库",257万,3室1厅,南北向,31728元/㎡,1995年建
宝石御景园金阊街道-阊胥路119号,95㎡,",满二,优质教育,,距1号线广济南路站约475米,",低层（共8层）,宝石御景园 双地铁大润发旁 通透两房客厅朝南,270万,2室2厅,南向,28421元/㎡,2008年建
中海凤凰熙岸沧浪街道-胥涛路与西环路高架出口交叉口东北150米,88.5㎡,",优质教育,",低层（共20层）,凤凰熙岸精装小户简单装修近地铁站交通便利劳动路,325万,3室2厅,南向,36723元/㎡,2015年建
绿城苏州御园住宅湖东-西华林街99号(金鸡湖大道与西华林街交汇处),824㎡,",满二,随时看房,",中层（共2层）,"御园精装合院别墅,小区里中间靠西的位置。",4300万,5室3厅,南向,52184元/㎡,2012年建
首开班芙春天元和-金砖路199号,97.8㎡,",满五,优质教育,商住两用,随时看房,,距4号线活力岛站约695米,",低层（共15层）,班芙春天 精装修 真实图片 满二年 轻轨口 实验 华润旁,175万,2室2厅,南北向,17894元/㎡,2015年建
新湖明珠城滨湖新城-江陵西路1888号(仲英大道与江陵西路交汇处,141.3㎡,",优质教育,,距4号线江陵西路站约731米,",高层（共15层）,NEW新湖明珠城望湖苑经典三房赠车位满五地铁口,295万,3室2厅,南北向,20878元/㎡,2014年建
海尚壹品湖东-九华路118号,47㎡,",优质教育,,距1号线星湖街站约648米,",中层（共20层）,新上海尚一房景城校区可用精装自住景观房安居舒适通风采光,235万,1室1厅,南北向,50000元/㎡,2014年建
"金秋家园沧浪街道-苏苑东街,近吴中东路",73㎡,",满二,随时看房,",中层（共33层）,金秋家园 中间楼层 采光无遮挡 18年房龄电梯房有车 带装修,165万,2室2厅,南北向,22603元/㎡,2016年建
唯锦苑唯亭-唯胜路340号,125㎡,",优质教育,",中层（共18层）,唯亭新房子在可 房东换房出售125平 三房 随时看 有钥匙,230万,3室2厅,南北向,18400元/㎡,2016年建
锦宁阁狮山-金山路28号(金山路与滨河路交叉口),117㎡,",满二,优质教育,,距1号线滨河路站约429米,",中层（共10层）,不要相信低价房源这套您能买到!双实验本部!机会难得!!!,560万,3室2厅,南北向,47863元/㎡,2005年建
淞泽家园九区跨塘-园区车坊镇普惠路,52㎡,",满五,",中层（共5层）,鸿顺花苑 通透两房 交通购物便利 房东急售,93万,2室2厅,南北向,17885元/㎡,2006年建
